1037798	1181119	2
1037798	1112916	3
1037798	1052963	4
1037798	1274382	5
1037798	1063537	6
1037798	1057610	7
1037798	1057605	8
1037798	1489964	9
1037798	1063541	10
1037798	1043104	11
1037798	1464464	12
1037798	1157577	13
1037798	1057602	14
1037798	1487601	15
1037798	1152341	16
1037798	1410087	17
1037798	1449767	18
1037798	1433989	19
1037798	1374925	20
1037798	1489958	21
1037798	1512247	22
1037798	1043101	23
1037798	1100536	24
1037798	1420385	25
1037798	1491948	26
1037798	1487600	27
1037798	1482667	28
1037798	1428905	29
1037798	1200297	30
1037798	1208967	31
1037798	1123862	32
1037798	1218171	33
1037798	1464455	34
1037798	1487602	35
1037798	1489960	36
1037798	1505236	37
1037798	1066578	38
1037798	1043106	39
1037798	1449764	40
1037798	1150486	41
1037798	1031599	42
1037798	1185445	43
1037798	1499298	44
1037798	1510875	45
1037798	1038928	46
1037798	1445250	47
1037798	1459486	48
1037798	1209094	49
1037798	1510879	50
1037798	1364424	51
1037798	1176671	52
1037798	1139119	53
1037798	1192851	54
1037798	1308037	55
1037798	1325397	56
1037798	1272276	57
1037798	118094	58
1037798	1232012	59
1037798	1208969	60
1037798	131115	61
1037798	1276230	62
1037798	1176672	63
1037798	1272283	64
1037798	1176673	65
